wavelength [nm],absorbance
503.97540, 0.55748469
503.99040, 0.55384461
504.00540, 0.54885575
504.02040, 0.54255525
504.03540, 0.53498973
504.05041, 0.52621471
504.06541, 0.51629395
504.08041, 0.50529872
504.09541, 0.49330694
504.11041, 0.48040233
504.12541, 0.46667341
504.14041, 0.45221260
504.15542, 0.43711520
504.17042, 0.42147840
504.18542, 0.40540035
504.20042, 0.38897915
504.21542, 0.37231203
504.23042, 0.35549443
504.24542, 0.33861931
504.26043, 0.32177636
504.27543, 0.30505145
504.29043, 0.28852606
504.30543, 0.27227686
504.32043, 0.25637540
504.33543, 0.24088778
504.35044, 0.22587460
504.36544, 0.21139084
504.38044, 0.19748590
504.39544, 0.18420374
504.41044, 0.17158300
504.42544, 0.15965734
504.44044, 0.14845568
504.45545, 0.13800256
504.47045, 0.12831858
504.48545, 0.11942079
504.50045, 0.11132310
504.51545, 0.10403678
504.53045, 0.09757089
504.54545, 0.09193267
504.56046, 0.08712796
504.57546, 0.08316160
504.59046, 0.08003775
504.60546, 0.07776015
504.62046, 0.07633240
504.63546, 0.07575812
504.65047, 0.07604104
504.66547, 0.07718512
504.68047, 0.07919447
504.69547, 0.08207331
504.71047, 0.08582582
504.72547, 0.09045595
504.74047, 0.09596712
504.75548, 0.10236192
504.77048, 0.10964174
504.78548, 0.11780635
504.80048, 0.12685344
504.81548, 0.13677816
504.83048, 0.14757259
504.84548, 0.15922526
504.86049, 0.17172064
504.87549, 0.18503864
504.89049, 0.19915412
504.90549, 0.21403652
504.92049, 0.22964941
504.93549, 0.24595021
504.95050, 0.26288991
504.96550, 0.28041289
504.98050, 0.29845683
504.99550, 0.31695272
505.01050, 0.33582496
505.02550, 0.35499158
505.04050, 0.37436453
505.05551, 0.39385013
505.07051, 0.41334963
505.08551, 0.43275979
505.10051, 0.45197368
505.11551, 0.47088148
505.13051, 0.48937143
505.14551, 0.50733080
505.16052, 0.52464697
505.17552, 0.54120849
505.19052, 0.55690625
505.20552, 0.57163459
505.22052, 0.58529246
505.23552, 0.59778455
505.25053, 0.60902233
505.26553, 0.61892508
505.28053, 0.62742085
505.29553, 0.63444731
505.31053, 0.63995247
505.32553, 0.64389535
505.34053, 0.64624645
505.35554, 0.64698812
505.37054, 0.64611477
505.38554, 0.64363296
505.40054, 0.63956128
505.41554, 0.63393017
505.43054, 0.62678151
505.44554, 0.61816812
505.46055, 0.60815311
505.47555, 0.59680913
505.49055, 0.58421753
505.50555, 0.57046738
505.52055, 0.55565444
505.53555, 0.53988010
505.55056, 0.52325026
505.56556, 0.50587416
505.58056, 0.48786329
505.59556, 0.46933018
505.61056, 0.45038739
505.62556, 0.43114641
505.64056, 0.41171667
505.65557, 0.39220464
505.67057, 0.37271301
505.68557, 0.35333992
505.70057, 0.33417837
505.71557, 0.31531565
505.73057, 0.29683297
505.74557, 0.27880511
505.76058, 0.26130024
505.77558, 0.24437985
505.79058, 0.22809871
505.80558, 0.21250505
505.82058, 0.19764067
505.83558, 0.18354131
505.85059, 0.17023690
505.86559, 0.15775204
505.88059, 0.14610641
505.89559, 0.13531530
505.91059, 0.12539007
505.92559, 0.11633874
505.94059, 0.10816649
505.95560, 0.10087621
505.97060, 0.09446898
505.98560, 0.08894461
506.00060, 0.08430203
506.01560, 0.08053973
506.03060, 0.07765611
506.04560, 0.07564976
506.06061, 0.07451973
506.07561, 0.07426569
506.09061, 0.07488801
506.10561, 0.07638783
506.12061, 0.07876701
506.13561, 0.08202801
506.15062, 0.08617372
506.16562, 0.09120725
506.18062, 0.09713158
506.19562, 0.10394924
506.21062, 0.11166186
506.22562, 0.12026977
506.24062, 0.12977146
506.25563, 0.14016308
506.27063, 0.15143790
506.28563, 0.16358577
506.30063, 0.17659258
506.31563, 0.19043972
506.33063, 0.20510358
506.34563, 0.22055508
506.36064, 0.23675926
506.37564, 0.25367490
506.39064, 0.27125425
506.40564, 0.28944278
506.42064, 0.30817911
506.43564, 0.32739491
506.45065, 0.34701502
506.46565, 0.36695762
506.48065, 0.38713450
506.49565, 0.40745148
506.51065, 0.42780892
506.52565, 0.44810232
506.54065, 0.46822308
506.55566, 0.48805930
506.57066, 0.50749669
506.58566, 0.52641957
506.60066, 0.54471195
506.61566, 0.56225859
506.63066, 0.57894619
506.64566, 0.59466454
506.66067, 0.60930768
506.67567, 0.62277508
506.69067, 0.63497275
506.70567, 0.64581428
506.72067, 0.65522190
506.73567, 0.66312735
506.75068, 0.66947269
506.76568, 0.67421102
506.78068, 0.67730705
506.79568, 0.67873753
506.81068, 0.67849151
506.82568, 0.67657052
506.84068, 0.67298854
506.85569, 0.66777181
506.87069, 0.66095857
506.88569, 0.65259854
506.90069, 0.64275236
506.91569, 0.63149085
506.93069, 0.61889420
506.94569, 0.60505098
506.96070, 0.59005720
506.97570, 0.57401515
506.99070, 0.55703231
507.00570, 0.53922017
507.02070, 0.52069306
507.03570, 0.50156693
507.05071, 0.48195826
507.06571, 0.46198293
507.08071, 0.44175513
507.09571, 0.42138640
507.11071, 0.40098472
507.12571, 0.38065366
507.14071, 0.36049171
507.15572, 0.34059163
507.17072, 0.32103993
507.18572, 0.30191654
507.20072, 0.28329447
507.21572, 0.26523964
507.23072, 0.24781088
507.24572, 0.23105988
507.26073, 0.21503142
507.27573, 0.19976349
507.29073, 0.18528768
507.30573, 0.17162952
507.32073, 0.15880886
507.33573, 0.14684044
507.35074, 0.13573434
507.36574, 0.12549653
507.38074, 0.11612946
507.39574, 0.10763260
507.41074, 0.10000298
507.42574, 0.09323580
507.44074, 0.08732490
507.45575, 0.08226327
507.47075, 0.07804351
507.48575, 0.07465826
507.50075, 0.07210052
507.51575, 0.07036401
507.53075, 0.06944339
507.54575, 0.06933447
507.56076, 0.07003430
507.57576, 0.07154131
507.59076, 0.07385522
507.60576, 0.07697704
507.62076, 0.08090890
